阶段,里程碑,任务编号,标题,所属层,前置任务,PRD Story,状态,负责人,开始日期,完成日期,备注
WP1,数据层地基,1.1,daily_stats 增加缓存创建/缓存读取两列(v3迁移),后端,,4;5,完成,claude,2026-06-07,2026-06-07,增列式改造保持向后兼容
WP1,数据层地基,1.2,Token解析补充缓存字段(流式+非流式),后端,1.1,5,完成,claude,2026-06-07,2026-06-07,usage.rs 返回 TokenUsage
WP1,数据层地基,1.3,聚合器/仓储/模型结构体同步缓存字段,后端,1.1;1.2,3;4,完成,claude,2026-06-07,2026-06-07,aggregator/stats_repo/models
WP1,数据层地基,1.4,新建 request_logs 明细表+v3迁移,后端,1.1,9;10;11;12;13;14;17,完成,claude,2026-06-07,2026-06-07,含 ts/endpoint/inbound/upstream/status/tokens 等
WP1,数据层地基,1.5,采集点双写(透传 model/状态码/时间/入站/出站),后端,1.4,9;10;11;12;13,完成,claude,2026-06-07,2026-06-07,forward.rs RequestMeta 贯穿
WP1,数据层地基,1.6,get_request_logs 分页+时间段查询命令,后端,1.4,15;16,完成,claude,2026-06-07,2026-06-07,
WP1,数据层地基,1.7,request-logged 实时事件,后端,1.5,35,完成,claude,2026-06-07,2026-06-07,payload 单条明细
WP1,数据层地基,1.8,request_logs 90天保留与清理,后端,1.4,17,完成,claude,2026-06-07,2026-06-07,flush 内每小时至多清理一次
WP1,数据层地基,1.9,历史记录命令 get_stats_history+删除,后端,1.3,6;7;8,完成,claude,2026-06-07,2026-06-07,保留旧按月接口待WP2移除
WP1,数据层地基,1.10,前端 services/types 同步(缓存/RequestLog/事件),前端,1.6;1.7;1.9,36,完成,claude,2026-06-07,2026-06-07,stats.ts/request.ts
WP2,统计页改造,2.1,顶部一级Tab(端点统计|用量统计),前端,,1;2,完成,claude,2026-06-07,2026-06-07,用量Tab占位待WP3填充
WP2,统计页改造,2.2,端点统计表新增缓存两列,前端,1.10,3;4,完成,claude,2026-06-07,2026-06-07,EndpointStatsTable
WP2,统计页改造,2.3,通用分页组件,前端,,7;16;33,完成,claude,2026-06-07,2026-06-07,ui/Pagination + 单测
WP2,统计页改造,2.4,历史记录弹窗(分页+按行/按天删除),前端,1.10;2.3,6;7;8,完成,claude,2026-06-07,2026-06-07,HistoryDialog 替换 HistoryPanel
WP2,统计页改造,2.5,共享 RequestMonitor 组件(live/ranged+Token悬停),前端,1.10;2.3,9;10;11;12;13;14;15;16;36,完成,claude,2026-06-07,2026-06-07,Req9 共享;拆出纯表 RequestLogTable
WP2,统计页改造,2.6,端点统计下半接入 RequestMonitor(ranged),前端,2.5,9;10;11;12;13;14;15;16,完成,claude,2026-06-07,2026-06-07,EndpointStatsPanel 集成
WP3,用量统计MVP,3.1,用量表+同步进度表迁移,后端,,18;19;20;21;22;23;24,完成,claude,2026-06-07,2026-06-07,migration v4: usage_records/usage_sync_state
WP3,用量统计MVP,3.2,Claude Code 读取器(增量+去重),后端,3.1,18;24,完成,claude,2026-06-07,2026-06-07,usage_local/claude.rs 同id取max
WP3,用量统计MVP,3.3,Codex 读取器(累计取差+增量),后端,3.1,19;24,完成,claude,2026-06-07,2026-06-07,usage_local/codex.rs 逐事件delta
WP3,用量统计MVP,3.4,聚合查询命令(sync/summary/by_model/by_day),后端,3.2;3.3,20;21;22;23;24;25,完成,claude,2026-06-07,2026-06-07,commands/usage.rs
WP3,用量统计MVP,3.5,用量统计前端(总量卡片+按模型表+按天表+过滤+刷新),前端,3.4,20;21;22;23;24;25,完成,claude,2026-06-07,2026-06-07,UsagePanel 替换占位
WP4,仪表盘改造,4.1,第一卡片改左3右2栅格,前端,,26;27,完成,claude,2026-06-07,2026-06-07,ServiceCard md:grid-cols-5
WP4,仪表盘改造,4.2,左侧启用端点列表+当前工作端点高亮,前端,4.1,26;34,完成,claude,2026-06-07,2026-06-07,别名用 name;当前端点高亮
WP4,仪表盘改造,4.3,右侧代理信息+开关+端口点击跳设置,前端,4.1,27;28,完成,claude,2026-06-07,2026-06-07,端口按钮 setActiveView(settings)
WP4,仪表盘改造,4.4,海水涨潮动效(running 时 motion),前端,4.3,29,完成,claude,2026-06-07,2026-06-07,SeaTide;尊重 reduced-motion
WP4,仪表盘改造,4.5,服务状态并入第一卡片+删除端点数量卡,前端,4.1,30,完成,claude,2026-06-07,2026-06-07,移除 HealthOverview
WP4,仪表盘改造,4.6,原位置改请求/失败/Token实时,前端,,31,完成,claude,2026-06-07,2026-06-07,useStats today + stats-updated
WP4,仪表盘改造,4.7,底部端点密钥卡替换为 RequestMonitor(live),前端,2.5;1.10,32;33;34;35,完成,claude,2026-06-07,2026-06-07,复用 RequestMonitor live
WP5,前端工具与监控修复,5.1,Token单位工具函数 formatTokenCompact+单测,前端,,13;14;15;16,完成,claude,2026-06-07,2026-06-08,≈+两位小数+万/亿就近取档;src/lib/format.ts
WP5,前端工具与监控修复,5.2,稳定时间段计算纯函数+单测,前端,,19;20,完成,claude,2026-06-07,2026-06-08,src/lib/range.ts 按天对齐
WP5,前端工具与监控修复,5.3,修复 ranged 监控一直加载(queryKey 漂移),前端,5.2,19;20,完成,claude,2026-06-07,2026-06-08,useMemo+startOfTodayMs 去除 Date.now() 进 key
WP5,前端工具与监控修复,5.4,仪表盘 Token(今日) 接入辅助单位,前端,5.1,17,完成,claude,2026-06-07,2026-06-08,StatCard hint;>=1万才显示
