阶段,里程碑,任务编号,标题,所属层,前置任务,PRD Story,状态,负责人,开始日期,完成日期,备注
执行,M1 协议转换增强,1.1,json_canonical 移植(排序键+空arguments→{}),transform,,1;4,完成,bx,2026-06-09,2026-06-09,
执行,M1 协议转换增强,1.2,thinking_rectifier 移植+RectifierConfig,transform,,2,完成,bx,2026-06-09,2026-06-09,
执行,M1 协议转换增强,1.3,请求转换接入 canonicalization,transform,1.1,1;4,完成,bx,2026-06-09,2026-06-09,
执行,M1 协议转换增强,1.4,流式多工具 by index 修复,transform,,3,完成,bx,2026-06-09,2026-06-09,
执行,M1 协议转换增强,1.5,签名 rectifier 接入 forward.rs,proxy,1.2,2,完成,bx,2026-06-09,2026-06-09,
执行,M1 协议转换增强,1.6,整体回归验证,backend,1.1;1.2;1.3;1.4;1.5,1;2;3;4,完成,bx,2026-06-09,2026-06-09,
执行,codex端点与Responses路由,2.1,transformer扩展:UpstreamFormat加OpenAiResponses变体+codex识别,transform,,1;2;3,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2.2,Responses转Chat请求转换+单测,transform,2.1,1,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2.3,Chat转Responses响应转换(非流式)+单测,transform,2.1,1,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2.4,Responses流式转换器+单测,transform,2.3,1,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2.5,forward集成:入站识别+候选过滤+三态决策+鉴权UA,proxy,2.2;2.3;2.4,1;2;3,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2.6,透传路径:codex端点Responses原样转发(含流式),proxy,2.1,2,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2.7,模型获取校验:codex端点复用OpenAI分支,backend,2.1,3,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2.8,前端codex端点类型选项,前端,,3,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2.9,整体回归+moon-bridge映射逐条校对,backend,2.5;2.6;2.7;2.8,1;2;3,完成,claude,2026-06-11,2026-06-11,
执行,失败请求隐藏计时,3.1,RequestRow/TokenDetail按isError隐藏计时+单测,前端,,1,完成,claude,2026-06-10,2026-06-10,
执行,端点页上下分栏,4.1,Endpoints根布局改固定头部+60/40上下滚动区,前端,,1,完成,claude,2026-06-10,2026-06-10,
执行,端点模型映射,5.1,后端数据层:模型字段+迁移v7+repo往返+clone,后端,,1,完成,claude,2026-06-10,2026-06-10,
执行,端点模型映射,5.2,后端选择/改写:resolver+forward+models_route,后端,,1,完成,claude,2026-06-10,2026-06-10,
执行,端点模型映射,5.3,前端类型+映射弹窗+卡片图标入口,前端,,1,完成,claude,2026-06-10,2026-06-10,
执行,端点模型映射,5.4,前端展示并入:卡片hover+ModelList,前端,,1,完成,claude,2026-06-10,2026-06-10,
执行,请求明细实际模型,6.1,后端actual_model切片:迁移v8+模型+aggregator+repo+forward,后端,,1,完成,claude,2026-06-10,2026-06-10,
执行,请求明细实际模型,6.2,前端类型+弹层蓝色实际模型展示+测试,前端,,1,完成,claude,2026-06-10,2026-06-10,
执行,应用更新与图标置换,7.1,opener能力接入:Cargo+lib.rs+capability,后端,,1,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,7.2,前端依赖与资源:plugin-opener+logo.png,前端,,1,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,7.3,update service扩展:openReleases+getAppVersion,前端,7.2,1,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,7.4,Logo图标置换+extra slot,前端,,1,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,7.5,VersionPopover组件+business桶导出,前端,7.3;7.4,1;2,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,7.6,SideNav接入+组件测试+回归,前端,7.5,1;2,完成,claude,2026-06-11,2026-06-11,
执行,端点状态同步与模型获取,8.1,后端endpoints-changed事件:update/test命令emit,后端,,1;2,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,8.2,共享useEndpointHealth hook+三组件接入+删重复订阅,前端,8.1,1;3,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,8.3,可用性优先级合并:TestBadge实时优先回退testStatus,前端,8.2,2,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,8.4,默认模型映射收口:default_model_for按格式+单测,后端,,4,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,8.5,models_probe鉴权聚合+URL候选+单测+命令接入,后端,8.4,6,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,8.6,EndpointForm URL预览+v1结尾警告,前端,,5,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,8.7,整体回归:cargo test+tsc+vitest+人工清单,全栈,8.1;8.2;8.3;8.4;8.5;8.6,1;2;3;4;5;6,完成,claude,2026-06-12,2026-06-12,
执行,配置文件管理,9.1,后端基础:atomic_write+paths扩展+toml依赖+单测,后端,,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.2,后端DTO:models/tool_config,后端,,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.3,claude配置:抽取/合并/备份覆写+单测,后端,9.1;9.2,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.4,codex配置:toml_edit字段级更新/双文件原子写+单测,后端,9.1;9.2,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.5,tool_config命令+lib注册,后端,9.3;9.4,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.6,前端service+类型+useToolConfigChannels,前端,9.5,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.7,共享JsonEditor提升+toolConfig纯函数+单测,前端,,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.8,页面骨架+导航接入+三栏布局,前端,9.6,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.9,左栏渠道列表:读/新增/删除/选中,前端,9.8,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.10,中栏表单:端点/自定义子tab+模型1m+操作字段编辑器,前端,9.8,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.11,右栏整合编辑器+应用流程(备份覆写),前端,9.10,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,9.12,开关项data-driven+整体回归+核对清单,全栈,9.11,1,完成,claude,2026-06-13,2026-06-13,
执行,reasoning-effort降级,10.1,Responses转Chat时xhigh降级重试,backend,,,完成,claude,2026-06-13,2026-06-13,
执行,代理端口修复,11.1,后端read_port统一读port键+删proxy_port+单测,backend,,1,完成,claude,2026-06-17,2026-06-17,
执行,代理端口修复,11.2,set_config重启代理后emit proxy-status-changed,backend,,2,完成,claude,2026-06-17,2026-06-17,
执行,代理端口修复,11.3,前端设置保存刷新代理状态+Codex默认TOML端口动态化,前端,,3,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,12.1,单例与桌面快捷唤起(single-instance),后端,,4,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,12.2,通用弹窗限高滚动,前端,,7,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,12.3,历史记录弹窗加宽与列不换行,前端,,6,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,12.4,端点卡片API URL点击跳转浏览器,前端,,8,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,12.5,模型点亮态后端:DTO+迁移v9+repo+resolver+单测,后端,,9,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,12.6,模型点亮态前端:类型+表单点亮+过滤+单测,前端,,9,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,12.7,端口验证回归+整体回归+核对清单,全栈,,1;2;3;5,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,13.1,后端配置扩展:AppConfig加silentStart/autoRun+config_repo解析+SAFE键+单测,后端,,1;2;3,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,13.2,自启动插件接入:Cargo+lib.rs注册+capability+前端plugin-autostart,全栈,,1,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,13.3,自动运行:lib.rs setup按autoRun启动代理+emit状态,后端,13.1,3,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,13.4,静默启动:boot按silentStart跳过reveal,前端,13.1,2,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,13.5,设置页启动行为类别+config类型扩展,前端,13.2,1;2;3,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,13.6,模型映射按点亮:endpoint.ts litOutbound+ModelMappingDialog+单测,前端,,5,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,13.7,CSS亮色文字加深+未点亮标签去灰,前端,,5,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,13.8,卡片URL放开:opener capability http/https,配置,,6,完成,claude,2026-06-17,2026-06-17,
